Normalized_ACC	Class	Order	Collapsed_Ord
0.039583333	Aquatic	Freshwater	Fresh water
0.039525692	Aquatic	Freshwater	Fresh water
0.039402774	Aquatic	Freshwater	Fresh water
0.039332539	Aquatic	Freshwater	Fresh water
0.03930131	Aquatic	Freshwater	Fresh water
0.039292093	Aquatic	Freshwater	Fresh water
0.038888889	Aquatic	Freshwater	Fresh water
0.038834951	Aquatic	Freshwater	Fresh water
0.038617886	Aquatic	Freshwater	Fresh water
0.038610039	Aquatic	Freshwater	Fresh water
0.038447846	Aquatic	Freshwater	Fresh water
0.038412292	Aquatic	Freshwater	Fresh water
0.038251366	Aquatic	Freshwater	Fresh water
0.038183695	Aquatic	Freshwater	Fresh water
0.037928958	Aquatic	Freshwater	Fresh water
0.037924152	Aquatic	Freshwater	Fresh water
0.037837838	Aquatic	Freshwater	Fresh water
0.037827352	Aquatic	Freshwater	Fresh water
0.037783375	Aquatic	Freshwater	Fresh water
0.037777778	Aquatic	Freshwater	Fresh water
0.037770613	Aquatic	Freshwater	Fresh water
0.037651822	Aquatic	Freshwater	Fresh water
0.037549407	Aquatic	Freshwater	Fresh water
0.037491479	Aquatic	Freshwater	Fresh water
0.037482517	Aquatic	Freshwater	Fresh water
0.037313433	Aquatic	Freshwater	Fresh water
0.036947791	Aquatic	Freshwater	Fresh water
0.036642239	Aquatic	Freshwater	Fresh water
0.03643547	Aquatic	Freshwater	Fresh water
0.036363636	Aquatic	Freshwater	Fresh water
0.036354823	Aquatic	Freshwater	Fresh water
0.036297641	Aquatic	Freshwater	Fresh water
0.036293436	Aquatic	Freshwater	Fresh water
0.036243822	Aquatic	Freshwater	Fresh water
0.036184211	Aquatic	Freshwater	Fresh water
0.035931986	Aquatic	Freshwater	Fresh water
0.035876289	Aquatic	Freshwater	Fresh water
0.035680751	Aquatic	Freshwater	Fresh water
0.035582822	Aquatic	Freshwater	Fresh water
0.035539325	Aquatic	Freshwater	Fresh water
0.035450517	Aquatic	Freshwater	Fresh water
0.035236938	Aquatic	Freshwater	Fresh water
0.035087719	Aquatic	Freshwater	Fresh water
0.034955449	Aquatic	Freshwater	Fresh water
0.034901366	Aquatic	Freshwater	Fresh water
0.034816248	Aquatic	Freshwater	Fresh water
0.034732824	Aquatic	Freshwater	Fresh water
0.034611172	Aquatic	Freshwater	Fresh water
0.034543326	Aquatic	Freshwater	Fresh water
0.034534535	Aquatic	Freshwater	Fresh water
0.034530387	Aquatic	Freshwater	Fresh water
0.03452381	Aquatic	Freshwater	Fresh water
0.034510433	Aquatic	Freshwater	Fresh water
0.034482759	Aquatic	Freshwater	Fresh water
0.034383202	Aquatic	Freshwater	Fresh water
0.034235669	Aquatic	Freshwater	Fresh water
0.034232929	Aquatic	Freshwater	Fresh water
0.034090909	Aquatic	Freshwater	Fresh water
0.034038014	Aquatic	Freshwater	Fresh water
0.034013605	Aquatic	Freshwater	Fresh water
0.034008097	Aquatic	Freshwater	Fresh water
0.03396968	Aquatic	Freshwater	Fresh water
0.033678756	Aquatic	Freshwater	Fresh water
0.033653846	Aquatic	Freshwater	Fresh water
0.033361848	Aquatic	Freshwater	Fresh water
0.033304119	Aquatic	Freshwater	Fresh water
0.033255543	Aquatic	Freshwater	Fresh water
0.033144705	Aquatic	Freshwater	Fresh water
0.032448378	Aquatic	Freshwater	Fresh water
0.032285292	Aquatic	Freshwater	Fresh water
0.03227459	Aquatic	Freshwater	Fresh water
0.031904911	Aquatic	Freshwater	Fresh water
