	observed_species	shannon	singles
Ga0157296	49.0	5.36218979555	40.0
LPaug08P2610mDRAFT	11.0	3.39274741045	9.0
LWSO	100.0	6.52271252504	92.0
Ga0066698	183.0	7.0770718215	138.0
Ga0066679	164.0	7.05273532412	124.0
Ga0066708	162.0	6.94774114448	123.0
JGI12291J13898	11.0	3.45943161864	11.0
Ga0066610	61.0	5.57519385958	49.0
JGI24025J20009	66.0	5.67564947416	52.0
Ga0066599	268.0	7.63795286545	211.0
Ga0102890	29.0	4.80196987693	25.0
Ga0100392	21.0	4.3035088548	19.0
Ga0180301	39.0	5.09435127185	25.0
C2957215	1.0	-0.0	1.0
C5911072	1.0	-0.0	1.0
SRS019327	2.0	1.0	2.0
C2858188	1.0	-0.0	1.0
C6791658	1.0	-0.0	1.0
C5041998	1.0	-0.0	1.0
Ga0105356	138.0	6.53446297739	62.0
Ga0105359	119.0	6.31638914351	56.0
	62.0	5.82866664139	55.0
BBAY84	171.0	7.36105835238	161.0
Ga0066841	7.0	2.29248125036	6.0
Ga0031688	8.0	2.94770277922	7.0
Ga0099920	8.0	3.0	8.0
Ga0116179	17.0	3.48124839434	13.0
JGI24501J29690	18.0	4.14266435555	17.0
Ga0066827	74.0	5.68314795752	53.0
Ga0075432	315.0	7.61378713958	258.0
Y607	9.0	3.12192809489	8.0
Ga0075270	31.0	4.87914337403	28.0
Ga0072500	12.0	3.38158048831	9.0
Ga0066812	17.0	4.08746284125	17.0
Ga0116144	22.0	4.37366068969	20.0
Ga0138256	126.0	6.66119024198	94.0
C687J26631	74.0	6.02275909832	62.0
C687J26623	54.0	5.52266325365	48.0
Ga0068872	81.0	6.26717258199	68.0
C687J29039	98.0	6.42685455786	79.0
C687J35503	30.0	4.66531153223	25.0
C687J26634	89.0	6.34919177092	68.0
C687J35088	43.0	5.29358932232	37.0
WOR8	42.0	5.21748842793	36.0
Ga0031653	37.0	5.12963946395	32.0
JGI26245J51145	21.0	4.18989809546	16.0
JGI26241J51128	27.0	4.50098089538	20.0
JGI26272J51733	15.0	3.8521687236	13.0
Ga0008650	43.0	5.15821401592	34.0
Ga0008651	66.0	5.7914124021	51.0
Ga0075120	57.0	5.59756267458	45.0
