Collapsed_Eco	lat	long
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	43.073	-89.4011
Host-associated	47.85072	-122.33843
Host-associated	53.595256	9.941572
Host-associated	53.595256	9.941572
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated		
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
